id,split,claim,context,label
6726,train,Medicaid patients were 97 percent more likely to die than those with private insurance.,an email to constituents,barely-true
535,train,A bill delaying the start of classes until Labor Day would permit school districts to shave 5 full weeks off the school year.,an Ohio House committee hearing ,true
9035,train,McCain opposes repeal of the death tax.,a TV ad,mostly-true
12075,test,"A new ruling by the EPA would force dairy farmers to comply with the Spill Prevention, Control and Countermeasure Program when dealing with spilt milk -- the same regulations oil and natural gas producers must follow.",a newsletter.,false
8738,train,"Says it cost Massachusetts taxpayers $100,000 when Mitt Romney and his staff purchased computer hard drives.",a Democratic Natonal Committee advertisement,false
4619,train,"Says President Barack Obama initially said the national health-care mandate isnt a tax, but his administration now says it is a tax.",a message on Twitter,mostly-true
890,train,"if the Agreement goes into effect, the millions of Mexican citizens who will become eligible for Social Security benefits may have a far stronger claim to benefits and protection against cuts than U.S. citizens!",mailer,false
10407,valid,"Within just a few years, immigration as a share of national population is set to break all historical records.",a speech in Arizona,mostly-true
7325,train,The man who killed a motorist who fatally struck a 2-year-old was back on the street because he had received a 13-year sentence for bank robbery but only served two years.,an interview,barely-true
7334,train,The rate in which people are working (in Wisconsin) is almost five points higher than it is nationally.,a debate,mostly-true
1412,train,"Says someone earning $50,000 a year will fare better under his 9-9-9 plan than under the current tax system.","an interview in St. Petersburg, Fla., aboard his campaign bus",barely-true
7753,train,"The Clintons now charge the Secret Service $10,000 monthly rent for the use of (a) Secret Service residence and that rent is just about equal to their mortgage payment.",an e-mail message circulated by many people.,false
10636,valid,Because as a Senator Toomey stood up for Wall Street. He wanted to privatize Social Security and invest it in the stock market. Wall Street would make billions in fees even if the stock market crashed.,In a political ad,mostly-true
8491,train,Its the first time in the nation this many members have been drawn (by a Legislature) into the same districts where it wasnt a court order.,remarks to the press,mostly-true
8002,train,"Medicare Part D was far more expensive than the Affordable Care Act and unlike the act, was never budgeted.",an image shared on Facebook,mostly-true
8701,train,The Austin school district calendar lists 64 different dates for either a state-mandated test or make-up test.,an op-ed column.,barely-true
4578,train,"Georgia Secretary of State Brian Kemp is a ""career politician.""",a campaign flier,false
6294,train,The payday loan industry does not exist in a state like Minnesota.,a newspaper article,false
10073,train,Online voter registration is a more secure way of doing voter registration.,a Senate Ethics and Elections committee hearing,mostly-true
8726,train,"A school uniform policy helps with school safety, helps with truancy.",a discussion about school uniforms,half-true
3165,train,"Marco Rubio spent $400K of your tax dollars remodeling offices, and building a members-only lounge.",a Facebook post,true
9966,train,Tim Kaine made Virginia the best state for business four years in a row.,a TV ad.,barely-true
5215,train,"Says the state auditor found that 37 percent of the 428,000 students receiving free and reduced-price lunches are ineligible.",a speech before the East Jersey Tea Party,false
1103,train,Says he couldnt keep a 42-inch redfish he caught because of fishing rules.,a posting on Twitter,true
5287,train,Many just call him Lyin Ted. ... HisTV ad about John Kasich? Lie! Stations had to pull it off the air.,a television ad.,false
11556,test,On which team hes rooting for in the World Series.,,half-true
9582,train,"Wisconsins economy has tanked under Gov. Scott Walker andso far in 2015 over 6,685 people have been laid off, already more than in all of 2014.",a website posting,false
11287,valid,The governors budget proposal reduces the state austerity cut to education to under $500 million for 2016.,blog post,true
10165,train,"While Hillary Clinton plans a massive, and I mean massive, tax increase, I have proposed the largest tax reduction of any candidate who has run for president this year, Democrat or Republican.",his acceptance speech at the Republican Natiional Convention in Cleveland,mostly-true
6524,train,"Gov. Rick Scott tried to kick 180,000 people off the voter rolls.",an email,false
12502,test,"A Texas law requires every high school to have a voter registrar and part of their responsibility is to make sure that when children become 18 and become eligible to vote, that they vote.",a civic summit hosted by Austin's KLRU-TV,half-true
2216,train,"The U.S. Department of Defense spends $80 million a year on prostate cancer research, $25 million a year on ovarian cancer research and $150 million a year on breast cancer research.",a hearing,mostly-true
6439,train,I sponsored and was the co-sponsor of the only legislation that ever passed that had E-Verify provisions in it back in 2010 when I served in the Legislature.,a debate,false
7701,train,"Cuccinelli wants to make all abortion illegal, even in cases of rape and incest, even to protect a womans health.",a TV ad.,barely-true
8219,train,Says gubernatorial candidate Clay Pell hasnt spent a dime on advertising.,"an interview on WPRI's ""Newsmakers"" program",pants-fire
8159,train,The very first meal on the surface of the moon was the Holy Communion.,a Facebook post,true
11825,test,Florida is investing record amounts of funding for HIV/AIDS prevention.,a Tampa Bay Times interview,barely-true
5532,train,"And, you know, our first president and our first commander in chief prayed every day. He had a field manual of prayers.",a Fox News interview,false
7017,train,"When Mitt Romney was governor, Massachusetts ranked 47th out of 50 states in job creation.",a CNN interview,half-true
9420,train,The U.S. Department of Homeland Security warned that the SAVE database is not a foolproof means of verifying (citizenship on) the voter rolls.,a statement,true
3196,train,Its coming. Nobody can stop this train.,a speech at a Labor Day rally in Milwaukee,false
10065,train,"Since Sept. 11, 2001, 270,000 Americans were killed by gunfire at home.",a comic strip,mostly-true
188,train,It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.,a news release,mostly-true
3806,train,Texas is growing twice as fast as the rest of the country.,campaign video,true
912,train,Says Gov. Scott Walker didnt balance the budget so we now have a larger state deficit 14 months into (his) term than we did when he was elected.,an appearance at Marquette University,half-true
5692,train,I did not vote to spend money to fight that (Amendment 6 redistricting) lawsuit.,a public hearing about redistricting,true
7879,train,Democratic candidate Jeff Greene ran for Congress as a California Republican.,a television ad,true
7627,train,"Says that in his book, Rick Perry said that Social Security is unconstitutional.",a Republican presidential debate,mostly-true
2134,train,U.S. Senate candidate Todd Akin was partly right that a womans body has a way of shutting down so that a pregnancy doesnt occur if shes raped.,a speech,false
9273,train,"Contrary to media reports, Georgias gas tax change led to no price increase at the pump.",a Georgia Public Policy Foundation blog post,half-true
643,train,"Says her campaign platform includes the biggest investment in new, good-paying jobs since World War II.","a campaign speech in Scranton, Pa. ",half-true
8760,train,I sponsored the new Buy American law,an Oregon Voters' Pamphlet statement,false
8799,train,"Georgia has the 9th highest rate of adults, ages 18 to 64, without a high school diploma or GED.",a report,true
7031,train,Says Jeb Bush once held $1 million in family planning grants hostage until the programs receiving the money agreed not to discuss birth control at all.,a column on Medium,barely-true
4049,train,"If Cory Gardner gets his way, youd better stock up on condoms.",a television ad,pants-fire
9613,train,"When Charlie Crist was elected governor, Florida ranked 31st in K-12 education. ""Last year ... we went from 31st to 14. And this year, the top 10 in America.""",a meeting of Florida Republicans,half-true
11363,valid,"When Carly Fiorina says Hewlett-Packard revenues went up, thats because she bought Compaq. It was a terrible deal.",the second GOP primary debate,mostly-true
10197,train,A judge took the Star Scientific tax case away from Ken Cuccinelli,debate,barely-true
3817,train,"Alison Alter has exploited a campaign finance loophole to obtain over $64,000 in public dollars to fund her campaign.",a mailer spotted by an Austin voter,half-true
1527,train,"Says Joe Biden said Jon Corzine is the smartest guy that I know, in terms of the economy and on finance, I really mean this.",a web ad posted on YouTube,true
12236,test,Says the success of his economic agenda is supported by the fact we went from unemployment at 9.2 percent when I decided to run for governor four years ago to two points lower.,a television interview,barely-true
