id,split,claim,context
0,dev,Colin Kaepernick became a starting quarterback during the 49ers 63rd season in the National Football League.,108548
1,dev,Tilda Swinton is a vegan.,227768
2,dev,Fox 2000 Pictures released the film Soul Food.,289914; 291259; 293412; 337212; 337214
3,dev,Anne Rice was born in New Jersey.,191656
4,dev,Telemundo is a English-language television network.,131371; 131371; 131371; 131371
5,dev,Damon Albarn's debut album was released in 2011.,107201
6,dev,There is a capital called Mogadishu.,210946
7,dev,Savages was exclusively a German film.,260471; 260473
8,dev,Happiness in Slavery is a gospel song by Nine Inch Nails.,227658
9,dev,Andrew Kevin Walker is only Chinese.,127089
10,dev,Shooter is about an expert marksman who tries to stop the assassination of the president.,163853
11,dev,House is a sitcom.,129277
12,dev,The Cretaceous ended.,241287; 241288; 241288; 241289; 241289
13,dev,Murda Beatz's real name is Marshall Mathers.,70477
14,dev,Nicholas Brody is a character on Homeland.,123414; 123414
15,dev,Charles Manson has been proven innocent of all crimes.,34332
16,dev,Sean Penn is only ever a stage actor.,108145; 108145
17,dev,Don Bradman retired from soccer.,193413
18,dev,L.A. Reid has served as the CEO of Arista Records for four years.,174591
19,dev,Brad Wilk helped co-found Rage in 1962.,241397
20,dev,CBS is the network that aired The Millers.,225477
21,dev,Annette Badland was in the 2015 NBA Finals.,87844
22,dev,Edgar Wright is a person.,184145; 184145; 184145; 184145; 184145; 184145
23,dev,Ann Richards was professionally involved in politics.,126507; 126507; 126507
24,dev,Drake Bell put out an EP.,194302
25,dev,Janet Leigh was incapable of writing.,291669; 291669; 293770; 293770; 293772; 293774; 338247
26,dev,Simón Bolívar is only known as Simón Bolívar.,232009
27,dev,Bermuda Triangle is in the western part of the Himalayas.,218175
28,dev,Colin Kaepernick became a starter during the 49ers 63rd season in the Republican Party.,48378
29,dev,"Marnie was directed by someone who was ""The Master of Nothing"".",231200
30,dev,Advertising is a personal message.,290501; 291880; 293924; 293924; 338610; 338745; 338745
31,dev,Hot Right Now is mistakenly attributed to DJ Fresh.,170950
32,dev,Private Lives is a three act play from 1930.,255480
33,dev,Giada at Home was only available on DVD.,271152
34,dev,"Harold Macmillan was born on February 20, 1894.",168831
35,dev,Aristotle spent time in Athens.,81170
36,dev,David Packouz refused to be an entrepreneur.,146245
37,dev,Magic Johnson did not play for the Lakers.,68484; 68484; 68484
38,dev,Tenacious D started in 1997.,122679
39,dev,James VI and I was a major advocate of a single parliament for Scotland and England.,72026
40,dev,Marcus Bentley is a broadcaster.,236619; 236620
41,dev,Saxony is in Ireland.,151645
42,dev,In the End has baseball in it.,125672
43,dev,Mel B released a song on Virgin Records in 2007.,245514
44,dev,Noah Cyrus is a younger sister of Macy Grey.,154544
45,dev,Mohra is a truck.,150114
46,dev,Hourglass is performed by a Russian singer-songwriter.,103338
47,dev,Shane Black was born in 1961.,92176; 94868; 96996; 306640; 306641
48,dev,A View to a Kill is an action movie.,87789
49,dev,Papua comprised all of Indonesia.,90417
50,dev,"There are not rumors that Augustus' wife, Livia, poisoned him.",57952
51,dev,Jennifer Lopez made a single.,88649; 88663; 88663; 88663; 88663
52,dev,A working animal is trained to perform life saving tasks.,273665
53,dev,Billboard Dad is a genre of music.,142203
54,dev,Vedam was written and directed by Christopher Nolan.,37589
55,dev,Men in Black II stars eight children.,132541
56,dev,Sancho Panza is a character in Don Quixote.,200457; 200480
57,dev,Magic Johnson was a tap dancer.,59918
58,dev,The Adventures of Pluto Nash was reviewed by Ron Underwood.,83211
59,dev,Hedda Gabler's world premiere took place at the Battle of Hastings.,43032
60,dev,Brazzers is a company.,56645
61,dev,Tim Roth is an English actor.,30724
62,dev,Juventus F.C. rejected their traditional black-and-white-striped home uniform in 1903.,169723
63,dev,Ernest Medina participated in the My Lai Massacre.,214290
64,dev,Viola Davis appeared in Kate & Leopold as Darth Maul.,79931
65,dev,Jenna Jameson worked as a glamor model and a stripper.,270524
66,dev,New Orleans Pelicans compete in the National Football Association.,270825
67,dev,Caroline Kennedy is a Catholic.,174537
68,dev,Starrcade was an annual professional wrestling event that began in 1988.,157269; 157275; 157275
69,dev,Jack Falahee is a person who acts.,123633
70,dev,Seohyun is a dog.,134526
71,dev,Steve Wozniak was born after the Apple II came out.,88672
72,dev,A&E is a cable and satellite television network.,263235
73,dev,L.A. Reid has served as the president of a record label.,88547
74,dev,Veeram is something other than an Indian Tamil film.,188651
75,dev,Home for the Holidays stars an American actress.,215802
76,dev,Taran Killam is an American writer.,55738
77,dev,Jayasudha is an actor that stars in Daag.,50596
78,dev,XHamster's The Sex Factor forces eight men and eight women to battle to become a porn star.,280553
79,dev,"John Dolmayan was born on July 15, 1873.",174042
80,dev,Despicable Me 2 was directed by a lake.,238996; 239000
81,dev,Island Records is a music school.,272426
82,dev,Sikkim is a part of the World Bank.,97113
83,dev,Christa McAuliffe taught social studies at Concord High School.,184391
84,dev,Ron Weasley is a President.,73014
85,dev,Reign Over Me was released in 2017.,97175; 97179
86,dev,Colin Kaepernick is a poker player.,60099
87,dev,Sheryl Lee has yet to appear in a film as of 2016.,96482; 96482; 96482; 96482; 96491; 96491; 96498; 96498; 96498; 96498
88,dev,Matteo Renzi is German.,199073
89,dev,The Road to El Dorado stars Tim Allen.,274540
90,dev,The highest point of the Hindu Kush is Everest.,77491
91,dev,Same Old Love is disassociated from Selena Gomez.,118262; 118262
92,dev,The heart beats at a resting rate close to 22 beats per minute.,48908
93,dev,Weekly Idol is hosted by Yoo Jae Suk.,255999
94,dev,Heavy Metal music was developed in the early 1970's.,42349
